"PROVINCIA,C,50","CANTON,C,50","PARROQUIA,C,100","DISTRITO,C,250","CIRCUITO,C,250","NOMBRE,C,150","ESTADO,C,50","X,N,19,11","Y,N,19,11"
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,ESCUELA DE EDUCACION BASICA BERTHA CABRERA PALACIOS,ACTIVAS ORDINARIAS,-79.40969444400,-2.74391666647
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,TRES DE MAYO,ACTIVAS ORDINARIAS,-79.41250000000,-2.72111111144
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,ESCUELA DE EDUCACION BASICA LUIS VELECELA YUNGA,ACTIVAS ORDINARIAS,-79.43777777760,-2.72083333342
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,ESTHER ALICIA ESPINOSA,ACTIVAS ORDINARIAS,-79.41583333310,-2.70333333315
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,ESCUELA DE EDUCACION BASICA 19 DE MARZO DE SAN JOSE DE GUARUMAL,ACTIVAS ORDINARIAS,-79.47999999980,-2.69386111104
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,24 DE MAYO,ACTIVAS ORDINARIAS,-79.41444444440,-2.69222222194
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,JULIO BRAVO ABAD,ACTIVAS ORDINARIAS,-79.42111111090,-2.67555555531
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,ESCUELA DE EDUCACION BASICA MARIO LEËN,ACTIVAS ORDINARIAS,-79.45500000030,-2.66027777757
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,3 DE NOVIEMBRE,ACTIVAS ORDINARIAS,-79.43722222230,-2.65861111129
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,MANUELA GARAICOA DE CALDERON,ACTIVAS ORDINARIAS,-79.43222222250,-2.64888888885
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,ESCUELA DE EDUCACION BASICA SAN FRANCISCO DE LA MACARENA,ACTIVAS ORDINARIAS,-79.59998913830,-3.08771503867
