"PROVINCIA,C,50","CANTON,C,50","PARROQUIA,C,100","DISTRITO,C,250","CIRCUITO,C,250","NOMBRE,C,100","NIVEL,C,50","TIPOLOGIA,C,50","INSTITUCIO,C,50","X,N,19,11","Y,N,19,11"
LOS RIOS,MOCACHE,MOCACHE,QUEVEDO-MOCACHE,MOCACHE,AGUAS FRIAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47399555610,-1.29794146435
GUAYAS,PLAYAS,GENERAL VILLAMIL (PLAYAS),PLAYAS,GENERAL VILLAMIL (PLAYAS),ClÝnica del PacÝfico,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-80.39079604400,-2.62072187936
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN,PONCEANO,UNIDAD MUNICIPAL DE SALUD NORTE,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.49084020920,-0.11436516370
SANTA ELENA,SANTA ELENA,SAN JOS╔ DE ANCËN,SANTA ELENA,SAN JOSE DE ANCON-ATAHUALPA,PROSPERIDAD,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-80.84605127640,-2.29587993762
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,ALLURIQUI-LUZ DE AMERICA-ESFUERZO-TOACHI-PERIFERIA-RIO VERDE-SANTO DOMINGO-ZARACAY-RIO TOACHI-CHIGUILPE,SANTO DOMINGO DE LOS COLORADOS,UNIDAD MOVIL 3 SANTO DOMINGO,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-79.16362361290,-0.25070706377
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,SAN JACINTO DEL BUA-VALLE HERMOSO-PUERTO LIMON-PERIFERIA 2-ABRAHAM CALAZACON-BOMBOLI,SANTO DOMINGO DE LOS COLORADOS,CLINICA DE ESPECIALIDADES (CENESMED),SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.20016074100,-0.27029891749
GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,"HOSPITAL  ""SAN CARLOS""",SEGUNDO NIVEL,HOSPITAL PRIVADO|HP,RED COMPLEMENTARIA,-79.69401199700,-2.09400505068
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,ALLURIQUI-LUZ DE AMERICA-ESFUERZO-TOACHI-PERIFERIA-RIO VERDE-SANTO DOMINGO-ZARACAY-RIO TOACHI-CHIGUILPE,SANTO DOMINGO DE LOS COLORADOS,CRISTO VIVE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.19348393010,-0.28933298109
GUAYAS,GUAYAQUIL,GUAYAQUIL,"XIMENA 1 - PUNA-ESTUARIO DEL RIO GUAYAS
",GUAYAQUIL-FLORESTA,CLINICA ALDAZ,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.87876710360,-2.25693074251
SANTA ELENA,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD-SALINAS,LA LIBERTAD,BRISAS DE LA LIBERTAD,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-80.90891395180,-2.22653886701
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL-ANTEPARA,CLINICA LAMDES,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.91488729920,-2.20883598480
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL-VENEZUELA,SAN EDUARDO,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.90644446390,-2.20825989227
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL-VENEZUELA,UMG 2 GUAYAS GUAYAQUIL,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-79.90617019250,-2.20213586931
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL-GARAY,UMG 3 GUAYAS GUAYAQUIL,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-79.89411825910,-2.19410357704
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-IÐAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA,MARISCAL SUCRE,CENTRO MEDICO QUIRURGICO PICHINCHA CENMEP S.A.- CLINICA PICHINCHA,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.49524696280,-0.20175084289
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-IÐAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA,JIPIJAPA,CLINICA DE ESPECIALIDADES GALENUS,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.47750264080,-0.16316277988
AZUAY,CUENCA,CUENCA .,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,CUENCA_CAÐARIBAMBA,UMG 1 AZUAY PUMAPUNGO,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-78.99375396820,-2.90822349254
AZUAY,CUENCA,CUENCA .,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,CUENCA_YANUNCAY,UMG 2 AZUAY YANUNCAY,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-79.03641185400,-2.91583973645
PICHINCHA,QUITO,TUMBACO,TUMBACO-CUMBAYA-PIFO-YARUQUI-EL QUINCHE-PUEMBO-CHECA-TABABELA,TUMBACO,UMG 1 PICHINCHA QUITO,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-78.39298038600,-0.20449121591
IMBABURA,CANTÊN IBARRA,SAN MIGUEL DE IBARRA,IBARRA-PIMAMPIRO-SAN MIGUEL DE URCUQUI,SAN MIGUEL DE IBARRA,UMG 1 IMBABURA CENTRO DE SALUD 1,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-78.12289718150,0.35298476753
ORELLANA,ORELLANA,PUERTO FRANCISCO DE ORELLANA (EL COCA),ORELLANA-LORETO,PUERTO FRANCISCO DE ORELLANA (COCA),UMG 1 ORELLANA,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-76.97422760270,-0.45706294553
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,"PUENGASI, CENTRO HISTORICO, SAN JUAN, LA LIBERTAD, ITCHIMBIA",ITCHIMBIA,UMO 2 PICHINCHA QUITO,SEGUNDO NIVEL,UNIDAD MOVIL ESPECIALIZADO DE ONCOLOGICA|UMEO,MSP,-78.49859369540,-0.21520988736
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-IÐAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA,IÐAQUITO,CLINICA DE ESPECIALIDADES MEDICAS INGLATERRA S.A,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.49080468770,-0.18890633143
